N T union_alg comp_alg time
10000 18 2 1 9.3188
1000 19 2 1 0.2995
5000 19 2 1 2.9492
10000 19 2 1 4.5077
1000 0 2 2 0.5223
5000 0 2 2 2.8839
10000 0 2 2 5.3511
1000 1 2 2 0.4652
5000 1 2 2 2.2308
10000 1 2 2 4.3741
1000 2 2 2 0.5533
5000 2 2 2 2.2197
10000 2 2 2 10.4995
1000 3 2 2 0.4098
5000 3 2 2 5.349
10000 3 2 2 6.635
1000 4 2 2 0.6026
5000 4 2 2 2.2895
10000 4 2 2 6.8287
1000 5 2 2 0.4621
5000 5 2 2 2.1633
10000 5 2 2 7.3688
1000 6 2 2 0.3785
5000 6 2 2 4.1188
10000 6 2 2 5.1874
1000 7 2 2 0.5977
5000 7 2 2 2.8078
10000 7 2 2 5.1938
1000 8 2 2 0.3278
5000 8 2 2 1.841
10000 8 2 2 6.142
1000 9 2 2 0.4811
5000 9 2 2 2.2805
10000 9 2 2 4.3868
1000 10 2 2 0.3053
5000 10 2 2 2.6413
10000 10 2 2 4.4769
1000 11 2 2 0.3824
5000 11 2 2 2.4047
10000 11 2 2 3.6874
1000 12 2 2 0.5908
5000 12 2 2 1.9473
10000 12 2 2 9.7346
1000 13 2 2 0.4102
5000 13 2 2 2.0973
10000 13 2 2 6.5928
1000 14 2 2 0.4224
5000 14 2 2 2.9562
10000 14 2 2 4.4887
1000 15 2 2 0.2972
5000 15 2 2 2.4051
10000 15 2 2 4.8958
1000 16 2 2 0.3815
5000 16 2 2 1.839
10000 16 2 2 3.9666
1000 17 2 2 0.3359
5000 17 2 2 2.4715
10000 17 2 2 5.0714
1000 18 2 2 0.5184
5000 18 2 2 2.6516
10000 18 2 2 7.6567
1000 19 2 2 0.3035
5000 19 2 2 2.5961
10000 19 2 2 5.2066
1000 0 2 3 0.6136
5000 0 2 3 2.9065
10000 0 2 3 6.0521
1000 1 2 3 0.3886
5000 1 2 3 2.4843
10000 1 2 3 6.4074
1000 2 2 3 0.5176
5000 2 2 3 2.5626
10000 2 2 3 15.118
1000 3 2 3 0.4102
5000 3 2 3 2.5187
10000 3 2 3 6.183
1000 4 2 3 0.4406
5000 4 2 3 2.2386
10000 4 2 3 4.5014
1000 5 2 3 0.481
5000 5 2 3 2.1104
10000 5 2 3 8.2163
1000 6 2 3 0.3819
5000 6 2 3 3.5074
10000 6 2 3 6.5064
1000 7 2 3 0.2975
5000 7 2 3 3.541
10000 7 2 3 3.8126
1000 8 2 3 0.3158
5000 8 2 3 2.0735
10000 8 2 3 5.4534
1000 9 2 3 0.6405
5000 9 2 3 1.951
10000 9 2 3 4.9774
1000 10 2 3 0.2925
5000 10 2 3 2.0573
10000 10 2 3 5.5178
1000 11 2 3 0.285
5000 11 2 3 2.6628
10000 11 2 3 4.4286
1000 12 2 3 0.4302
5000 12 2 3 5.1302
10000 12 2 3 5.7353
1000 13 2 3 0.3721
5000 13 2 3 2.6077
10000 13 2 3 4.5732
1000 14 2 3 0.7142
5000 14 2 3 2.303
10000 14 2 3 4.5433
1000 15 2 3 0.2977
5000 15 2 3 2.2369
10000 15 2 3 6.4152
1000 16 2 3 0.3006
5000 16 2 3 2.2795
10000 16 2 3 5.6424
1000 17 2 3 0.2534
5000 17 2 3 2.1157
10000 17 2 3 5.7095
1000 18 2 3 0.2742
5000 18 2 3 2.914
10000 18 2 3 5.4151
1000 19 2 3 0.3742
5000 19 2 3 2.9581
10000 19 2 3 5.4321
1000 0 2 4 0.3766
5000 0 2 4 2.3522
10000 0 2 4 6.1221
1000 1 2 4 0.4007
5000 1 2 4 3.3917
10000 1 2 4 4.5052
1000 2 2 4 0.8511
5000 2 2 4 5.3876
10000 2 2 4 5.0243
1000 3 2 4 0.3256
5000 3 2 4 3.4893
10000 3 2 4 5.3818
1000 4 2 4 0.3604
5000 4 2 4 2.6799
10000 4 2 4 5.2037
1000 5 2 4 0.3354
5000 5 2 4 2.1132
10000 5 2 4 6.6497
1000 6 2 4 0.3393
5000 6 2 4 4.2305
10000 6 2 4 4.4114
1000 7 2 4 0.2777
5000 7 2 4 2.8804
10000 7 2 4 4.5882
1000 8 2 4 0.3287
5000 8 2 4 2.4913
10000 8 2 4 4.9314
1000 9 2 4 0.4389
5000 9 2 4 2.2351
10000 9 2 4 3.8766
1000 10 2 4 0.2829
5000 10 2 4 2.1307
10000 10 2 4 4.9455
1000 11 2 4 0.2576
5000 11 2 4 2.421
10000 11 2 4 5.7589
1000 12 2 4 0.3661
5000 12 2 4 2.1386
10000 12 2 4 5.3088
1000 13 2 4 0.5307
5000 13 2 4 3.0928
10000 13 2 4 4.6322
1000 14 2 4 0.3546
5000 14 2 4 2.2846
10000 14 2 4 4.3246
1000 15 2 4 0.3362
5000 15 2 4 2.3084
10000 15 2 4 4.4482
1000 16 2 4 0.3061
5000 16 2 4 1.7977
10000 16 2 4 3.923
1000 17 2 4 0.2776
5000 17 2 4 2.7324
10000 17 2 4 6.3608
1000 18 2 4 0.2663
5000 18 2 4 2.0072
10000 18 2 4 10.6356
1000 19 2 4 0.3075
5000 19 2 4 2.7834
10000 19 2 4 4.1838
